Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
T.J. Hockenson,TE,Iowa,College Stats,6-5,251,4.70,37.5,17,123,7.02,4.18,
Alijah Holder\HoldAl00,CB,Stanford,College Stats,6-1,191,4.60,36.0,9,121,6.70,4.15,
Justin Hollins\HollJu00,EDGE,Oregon,College Stats,6-5,248,4.50,36.5,25,119,7.06,4.40,/ 5th / 156th pick / 2019
Elijah Holyfield\HolyEl00,RB,Georgia,College Stats,5-10,217,4.78,29.5,26,118,,,
Travis Homer\HomeTr00,RB,Miami (FL),College Stats,5-10,201,4.48,39.5,17,130,7.07,4.31,/ 6th / 204th pick / 2019
Amani Hooker\HookAm00,S,Iowa,College Stats,5-11,210,4.48,37.0,14,123,6.81,4.10,/ 4th / 116th pick / 2019
Tytus Howard,OT,Alabama St.,,6-5,322,5.05,29.5,21,103,8.34,4.87,
Albert Huggins\HuggAl00,DL,Clemson,College Stats,6-3,305,5.12,25.5,35,101,7.84,4.84,
Lil'Jordan Humphrey\HumpLi00,WR,Texas,College Stats,6-4,210,4.75,33.5,13,119,7.09,4.29,
Jalen Hurd\HurdJa00,WR,Baylor,College Stats,6-5,226,,,23,,,,/ 3rd / 67th pick / 2019
Mitch Hyatt\HyatMi00,OT,Clemson,College Stats,6-5,303,,25.5,28,102,7.72,4.52,
Alec Ingold\IngoAl00,FB,Wisconsin,College Stats,6-1,242,4.89,34.0,16,116,7.35,4.32,
Andy Isabella\IsabAn00,WR,Massachusetts,College Stats,5-9,188,4.31,36.5,15,121,6.95,4.15,/ 2nd / 62nd pick / 2019
Martez Ivey\IveyMa00,OL,Florida,College Stats,6-5,315,,,,,,,
Joe Jackson\JackJo02,DL,Miami (FL),College Stats,6-4,275,,27.0,22,109,,,/ 5th / 165th pick / 2019
Mike Jackson\JackMi01,CB,Miami (FL),College Stats,6-1,210,4.45,40.5,13,130,7.12,4.12,/ 5th / 158th pick / 2019
Tyree Jackson\JackTy00,QB,Buffalo,College Stats,6-7,249,4.59,34.5,,120,7.09,4.28,
Josh Jacobs\JacoJo01,RB,Alabama,College Stats,5-10,220,,,,,,,/ 1st / 24th pick / 2019
Andre James\JameAn00,OT,UCLA,College Stats,6-4,299,5.32,29.0,21,105,8.00,4.84,
Cece Jefferson\JeffCe00,EDGE,Florida,College Stats,6-1,266,5.02,30.5,17,108,7.50,4.53,
Jalen Jelks\JelkJa00,EDGE,Oregon,College Stats,6-5,256,4.92,32.5,19,113,7.22,4.59,/ 7th / 241st pick / 2019
Elgton Jenkins\JenkEl00,OL,Mississippi St.,College Stats,6-4,310,,28.0,29,109,7.77,4.62,/ 2nd / 44th pick / 2019
Gary Jennings\JennGa00,WR,West Virginia,College Stats,6-1,214,4.42,37.0,20,127,7.32,4.15,/ 4th / 120th pick / 2019
